,user_id,group,decision_rank,decision,left_age,right_age,left_dependents,right_dependents,left_drinking,right_drinking
479,29,nocf,11,0,2,0,2,0,2,0
480,31,nocf,5,1,2,1,0,0,2,2
481,32,cf,7,1,2,2,0,2,2,2
482,29,nocf,12,0,1,2,2,0,0,0
483,32,cf,8,0,1,1,0,0,2,0
484,30,cf,8,1,1,1,0,0,2,0
485,28,cf,15,1,1,0,2,0,0,0
486,29,nocf,13,1,1,1,1,2,0,0
487,34,cf,1,0,0,1,0,0,0,0
488,30,cf,9,0,1,1,1,2,1,2
489,29,nocf,14,0,1,1,2,2,1,2
490,32,cf,11,1,2,0,2,0,2,0
491,30,cf,10,1,1,1,1,2,2,2
492,33,cf,3,1,1,1,0,0,0,1
493,31,nocf,8,0,1,1,0,0,2,0
494,29,nocf,15,0,1,0,2,0,0,0
495,35,cf,2,0,0,2,0,0,0,0
496,36,cf,2,2,0,2,0,0,0,0
497,34,cf,4,2,4,1,0,0,0,2
498,32,cf,13,1,1,1,1,2,0,0
499,36,cf,3,2,1,1,0,0,0,1
500,35,cf,3,2,1,1,0,0,0,1
501,32,cf,14,0,1,1,2,2,1,2
502,36,cf,4,2,4,1,0,0,0,2
503,34,cf,5,1,2,1,0,0,2,2
504,36,cf,6,2,1,1,0,0,2,0
505,36,cf,7,2,2,2,0,2,2,2
506,30,cf,13,1,1,1,1,2,0,0
507,36,cf,8,2,1,1,0,0,2,0
508,37,nocf,1,1,0,1,0,0,0,0
509,34,cf,6,1,1,1,0,0,2,0
510,31,nocf,9,1,1,1,1,2,1,2
511,36,cf,9,1,1,1,1,2,1,2
512,30,cf,14,0,1,1,2,2,1,2
513,33,cf,6,1,1,1,0,0,2,0
514,35,cf,5,1,2,1,0,0,2,2
515,34,cf,7,1,2,2,0,2,2,2
516,36,cf,10,0,1,1,1,2,2,2
517,36,cf,11,1,2,0,2,0,2,0
518,37,nocf,2,0,0,2,0,0,0,0
519,34,cf,8,0,1,1,0,0,2,0
520,30,cf,15,0,1,0,2,0,0,0
521,33,cf,7,1,2,2,0,2,2,2
522,31,nocf,10,1,1,1,1,2,2,2
523,34,cf,10,1,1,1,1,2,2,2
524,35,cf,7,1,2,2,0,2,2,2
525,36,cf,13,1,1,1,1,2,0,0
526,33,cf,8,0,1,1,0,0,2,0
527,37,nocf,3,0,1,1,0,0,0,1
528,36,cf,14,0,1,1,2,2,1,2
529,33,cf,9,1,1,1,1,2,1,2
530,34,cf,11,0,2,0,2,0,2,0
531,36,cf,15,0,1,0,2,0,0,0
532,38,cf,1,2,0,1,0,0,0,0
533,37,nocf,4,1,4,1,0,0,0,2
534,34,cf,12,0,1,2,2,0,0,0
535,33,cf,10,1,1,1,1,2,2,2
536,38,cf,2,0,0,2,0,0,0,0
537,34,cf,13,1,1,1,1,2,0,0
538,34,cf,14,0,1,1,2,2,1,2
539,33,cf,11,0,2,0,2,0,2,0
540,39,cf,1,0,0,1,0,0,0,0
541,37,nocf,7,1,2,2,0,2,2,2
542,37,nocf,8,0,1,1,0,0,2,0
543,40,nocf,1,1,0,1,0,0,0,0
544,39,cf,3,2,1,1,0,0,0,1
545,33,cf,13,1,1,1,1,2,0,0
546,39,cf,5,2,2,1,0,0,2,2
547,37,nocf,11,1,2,0,2,0,2,0
548,35,cf,13,1,1,1,1,2,0,0
549,33,cf,15,0,1,0,2,0,0,0
550,31,nocf,11,0,2,0,2,0,2,0
551,31,nocf,12,0,1,2,2,0,0,0
552,35,cf,15,2,1,0,2,0,0,0
553,40,nocf,2,1,0,2,0,0,0,0
554,37,nocf,13,1,1,1,1,2,0,0
555,31,nocf,13,1,1,1,1,2,0,0
556,38,cf,6,1,1,1,0,0,2,0
557,37,nocf,14,0,1,1,2,2,1,2
558,40,nocf,3,0,1,1,0,0,0,1
559,39,cf,9,0,1,1,1,2,1,2
560,41,cf,1,2,0,1,0,0,0,0
561,39,cf,10,2,1,1,1,2,2,2
562,40,nocf,4,0,4,1,0,0,0,2
563,38,cf,8,2,1,1,0,0,2,0
564,31,nocf,14,0,1,1,2,2,1,2
565,39,cf,11,0,2,0,2,0,2,0
566,41,cf,3,0,1,1,0,0,0,1
567,41,cf,4,1,4,1,0,0,0,2
568,35,cf,6,1,1,1,0,0,2,0
569,36,cf,12,1,1,2,2,0,0,0
570,34,cf,9,0,1,1,1,2,1,2
571,35,cf,8,0,1,1,0,0,2,0
572,35,cf,9,0,1,1,1,2,1,2
573,37,nocf,5,1,2,1,0,0,2,2
574,37,nocf,6,1,1,1,0,0,2,0
575,34,cf,15,1,1,0,2,0,0,0
576,35,cf,10,1,1,1,1,2,2,2
577,38,cf,3,2,1,1,0,0,0,1
578,33,cf,12,0,1,2,2,0,0,0
579,39,cf,2,2,0,2,0,0,0,0
580,35,cf,11,1,2,0,2,0,2,0
581,37,nocf,9,0,1,1,1,2,1,2
582,38,cf,4,1,4,1,0,0,0,2
583,39,cf,4,0,4,1,0,0,0,2
584,37,nocf,10,1,1,1,1,2,2,2
585,35,cf,12,0,1,2,2,0,0,0
586,33,cf,14,1,1,1,2,2,1,2
